exchange,cal_date,is_open,pretrade_date
SSE,20160514,0,20160513
SSE,20160515,0,20160513
SSE,20160516,1,20160513
SSE,20160517,1,20160516
SSE,20160518,1,20160517
SSE,20160519,1,20160518
SSE,20160520,1,20160519
SSE,20160521,0,20160520
SSE,20160522,0,20160520
SSE,20160523,1,20160520
SSE,20160524,1,20160523
SSE,20160525,1,20160524
SSE,20160526,1,20160525
SSE,20160527,1,20160526
SSE,20160528,0,20160527
SSE,20160529,0,20160527
SSE,20160530,1,20160527
SSE,20160531,1,20160530
SSE,20160601,1,20160531
SSE,20160602,1,20160601
SSE,20160603,1,20160602
SSE,20160604,0,20160603
SSE,20160605,0,20160603
SSE,20160606,1,20160603
SSE,20160607,1,20160606
SSE,20160608,1,20160607
SSE,20160609,0,20160608
SSE,20160610,0,20160608
SSE,20160611,0,20160608
SSE,20160612,0,20160608
SSE,20160613,1,20160608
SSE,20160614,1,20160613
SSE,20160615,1,20160614
SSE,20160616,1,20160615
SSE,20160617,1,20160616
SSE,20160618,0,20160617
SSE,20160619,0,20160617
SSE,20160620,1,20160617
SSE,20160621,1,20160620
SSE,20160622,1,20160621
SSE,20160623,1,20160622
SSE,20160624,1,20160623
SSE,20160625,0,20160624
SSE,20160626,0,20160624
SSE,20160627,1,20160624
SSE,20160628,1,20160627
SSE,20160629,1,20160628
SSE,20160630,1,20160629
SSE,20160701,1,20160630
SSE,20160702,0,20160701
SSE,20160703,0,20160701
SSE,20160704,1,20160701
SSE,20160705,1,20160704
SSE,20160706,1,20160705
SSE,20160707,1,20160706
SSE,20160708,1,20160707
SSE,20160709,0,20160708
SSE,20160710,0,20160708
SSE,20160711,1,20160708
SSE,20160712,1,20160711
SSE,20160713,1,20160712
SSE,20160714,1,20160713
SSE,20160715,1,20160714
SSE,20160716,0,20160715
SSE,20160717,0,20160715
SSE,20160718,1,20160715
SSE,20160719,1,20160718
SSE,20160720,1,20160719
SSE,20160721,1,20160720
SSE,20160722,1,20160721
SSE,20160723,0,20160722
SSE,20160724,0,20160722
SSE,20160725,1,20160722
SSE,20160726,1,20160725
SSE,20160727,1,20160726
SSE,20160728,1,20160727
SSE,20160729,1,20160728
SSE,20160730,0,20160729
SSE,20160731,0,20160729
SSE,20160801,1,20160729
SSE,20160802,1,20160801
SSE,20160803,1,20160802
SSE,20160804,1,20160803
SSE,20160805,1,20160804
SSE,20160806,0,20160805
SSE,20160807,0,20160805
SSE,20160808,1,20160805
SSE,20160809,1,20160808
SSE,20160810,1,20160809
SSE,20160811,1,20160810
SSE,20160812,1,20160811
SSE,20160813,0,20160812
SSE,20160814,0,20160812
SSE,20160815,1,20160812
SSE,20160816,1,20160815
SSE,20160817,1,20160816
SSE,20160818,1,20160817
SSE,20160819,1,20160818
SSE,20160820,0,20160819
SSE,20160821,0,20160819
SSE,20160822,1,20160819
SSE,20160823,1,20160822
SSE,20160824,1,20160823
SSE,20160825,1,20160824
SSE,20160826,1,20160825
SSE,20160827,0,20160826
SSE,20160828,0,20160826
SSE,20160829,1,20160826
SSE,20160830,1,20160829
SSE,20160831,1,20160830
SSE,20160901,1,20160831
SSE,20160902,1,20160901
SSE,20160903,0,20160902
SSE,20160904,0,20160902
SSE,20160905,1,20160902
SSE,20160906,1,20160905
SSE,20160907,1,20160906
SSE,20160908,1,20160907
SSE,20160909,1,20160908
SSE,20160910,0,20160909
SSE,20160911,0,20160909
SSE,20160912,1,20160909
SSE,20160913,1,20160912
SSE,20160914,1,20160913
SSE,20160915,0,20160914
SSE,20160916,0,20160914
SSE,20160917,0,20160914
SSE,20160918,0,20160914
SSE,20160919,1,20160914
SSE,20160920,1,20160919
SSE,20160921,1,20160920
SSE,20160922,1,20160921
SSE,20160923,1,20160922
SSE,20160924,0,20160923
SSE,20160925,0,20160923
SSE,20160926,1,20160923
SSE,20160927,1,20160926
SSE,20160928,1,20160927
SSE,20160929,1,20160928
SSE,20160930,1,20160929
SSE,20161001,0,20160930
SSE,20161002,0,20160930
SSE,20161003,0,20160930
SSE,20161004,0,20160930
SSE,20161005,0,20160930
SSE,20161006,0,20160930
SSE,20161007,0,20160930
SSE,20161008,0,20160930
SSE,20161009,0,20160930
SSE,20161010,1,20160930
SSE,20161011,1,20161010
SSE,20161012,1,20161011
SSE,20161013,1,20161012
SSE,20161014,1,20161013
SSE,20161015,0,20161014
SSE,20161016,0,20161014
SSE,20161017,1,20161014
SSE,20161018,1,20161017
SSE,20161019,1,20161018
SSE,20161020,1,20161019
SSE,20161021,1,20161020
SSE,20161022,0,20161021
SSE,20161023,0,20161021
SSE,20161024,1,20161021
SSE,20161025,1,20161024
SSE,20161026,1,20161025
SSE,20161027,1,20161026
SSE,20161028,1,20161027
SSE,20161029,0,20161028
SSE,20161030,0,20161028
SSE,20161031,1,20161028
SSE,20161101,1,20161031
SSE,20161102,1,20161101
SSE,20161103,1,20161102
SSE,20161104,1,20161103
SSE,20161105,0,20161104
SSE,20161106,0,20161104
SSE,20161107,1,20161104
SSE,20161108,1,20161107
SSE,20161109,1,20161108
SSE,20161110,1,20161109
SSE,20161111,1,20161110
SSE,20161112,0,20161111
SSE,20161113,0,20161111
SSE,20161114,1,20161111
SSE,20161115,1,20161114
SSE,20161116,1,20161115
SSE,20161117,1,20161116
SSE,20161118,1,20161117
SSE,20161119,0,20161118
SSE,20161120,0,20161118
SSE,20161121,1,20161118
SSE,20161122,1,20161121
SSE,20161123,1,20161122
SSE,20161124,1,20161123
SSE,20161125,1,20161124
SSE,20161126,0,20161125
SSE,20161127,0,20161125
SSE,20161128,1,20161125
SSE,20161129,1,20161128
SSE,20161130,1,20161129
SSE,20161201,1,20161130
SSE,20161202,1,20161201
SSE,20161203,0,20161202
SSE,20161204,0,20161202
SSE,20161205,1,20161202
SSE,20161206,1,20161205
SSE,20161207,1,20161206
SSE,20161208,1,20161207
SSE,20161209,1,20161208
SSE,20161210,0,20161209
SSE,20161211,0,20161209
SSE,20161212,1,20161209
SSE,20161213,1,20161212
SSE,20161214,1,20161213
SSE,20161215,1,20161214
